SDR	7.7.6

-----Logger Information-----
Model #	3090
Serial #	13240
Hardware Rev.	011-010-000

-----Site Information-----
Site #	0066
Site Desc	
Project Code	
Project Desc	
Site Location	
Site Elevation	177
Latitude	N 062° 02.252'
Longitude	W 163° 14.820'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG IceFreeIII m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.572
Offset	1
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	21   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	39   m
Scale Factor	0.351
Offset	260
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	350
Units	deg

Channel #	9
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	10
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
06/19/2008 00:00:00	6.6	0.7	8.0	4.6	7.1	0.7	8.4	4.7	6.4	0.7	8.0	4.2	6.1	0.8	8.0	3.8									178	11	177	260	171	11	162	350					7.5	0.0	7.7	7.4								
06/19/2008 00:10:00	7.0	0.7	8.8	4.9	7.5	0.5	8.4	5.9	6.6	0.6	8.0	4.6	6.2	0.8	8.4	4.6									185	4	182	260	178	5	180	350					7.3	0.0	7.4	7.4								
06/19/2008 00:20:00	6.7	0.9	8.8	4.6	7.1	0.8	8.7	5.3	6.4	0.8	8.0	4.2	5.9	0.8	8.4	4.2									180	9	186	260	174	10	179	350					7.3	0.0	7.7	7.4								
06/19/2008 00:30:00	7.5	0.6	9.1	6.1	7.8	0.5	9.0	6.4	7.1	0.6	8.8	5.3	7.1	0.8	8.8	4.6									165	5	169	260	157	6	157	350					7.5	0.0	7.7	7.4								
06/19/2008 00:40:00	7.7	0.8	9.1	5.7	8.0	0.7	9.3	5.9	7.2	0.8	8.8	4.9	7.2	1.0	8.8	4.6									169	6	162	260	162	7	162	350					7.4	0.0	7.7	7.4								
06/19/2008 00:50:00	7.3	0.6	8.8	5.3	7.7	0.6	9.0	5.6	6.8	0.7	8.4	4.9	6.6	0.8	8.4	4.2									171	6	177	260	164	8	163	350					7.5	0.0	7.7	7.4								
06/19/2008 01:00:00	7.8	0.6	9.1	5.7	8.1	0.6	9.3	6.4	7.8	0.6	9.5	6.5	7.3	0.7	9.5	5.3									162	5	165	260	154	5	150	350					7.5	0.0	7.7	7.4								
06/19/2008 01:10:00	7.9	0.7	9.9	6.1	8.3	0.7	10.2	6.4	7.6	0.8	9.9	5.3	7.3	0.8	9.1	4.2									164	5	168	260	157	6	163	350					7.4	0.0	7.7	7.4								
06/19/2008 01:20:00	7.9	0.6	9.1	5.7	8.2	0.6	9.3	5.9	7.5	0.6	8.8	5.3	7.5	0.7	9.1	5.3									161	5	162	260	153	5	148	350					7.4	0.0	7.7	7.4								
06/19/2008 01:30:00	7.8	0.7	9.1	5.3	8.2	0.7	9.6	6.4	7.5	0.7	8.8	5.7	7.4	0.9	9.1	4.6									164	5	168	260	156	6	157	350					7.5	0.0	7.7	7.4								
06/19/2008 01:40:00	7.9	0.9	10.3	4.9	8.3	0.9	10.4	6.2	7.6	1.0	9.9	4.9	7.1	1.0	9.5	4.6									164	6	165	260	157	7	157	350					7.3	0.0	7.7	7.4								
06/19/2008 01:50:00	7.6	0.6	9.1	6.1	8.0	0.6	9.6	6.4	7.2	0.7	8.8	5.3	7.0	0.8	8.8	4.9									163	5	164	260	155	6	164	350					7.3	0.0	7.7	7.4								
06/19/2008 02:00:00	7.2	0.6	9.1	5.7	7.7	0.6	9.6	6.2	6.9	0.7	9.1	5.3	6.9	0.8	8.8	4.9									165	5	163	260	159	6	152	350					7.3	0.0	7.4	7.4								
06/19/2008 02:10:00	6.6	0.7	8.4	4.6	7.0	0.6	8.4	5.6	6.3	0.7	8.0	4.6	6.1	0.8	8.0	3.4									162	6	165	260	154	7	152	350					7.3	0.0	7.4	7.2								
06/19/2008 02:20:00	7.2	0.6	9.1	5.7	7.6	0.6	9.6	6.4	7.0	0.6	9.1	5.3	6.8	0.8	9.5	4.9									161	5	171	260	153	5	158	350					7.3	0.0	7.4	7.2								
